entity,context,TYPE
Irakkrigen,,EVENT
krigen i Afghanistan,,EVENT
Kosovokrigen,,EVENT
Golfkrigen,,EVENT
Første Verdenskrig,,EVENT
1. Verdenskrig,,EVENT
1.Verdenskrig,,EVENT
Anden Verdenskrig,,EVENT
2. Verdenskrig,,EVENT
2.Verdenskrig,,EVENT
Den Kolde Krig,,EVENT
Koreakrigen,,EVENT
Napoleonskrigene,,EVENT
1. Slesviske krig,,EVENT
2. Slesviske krig,,EVENT
Trediveårskrigen,,EVENT
Slaget ved Dybbøl,,EVENT
Vietnamkrigen,,EVENT
Krystalnatten,,EVENT
9/11,terror attack,EVENT
11. september,terror attack,EVENT
terrorangrebet den 11. september 2001,,EVENT
finanskrisen,,EVENT
Human Genome Projektet,,EVENT
Sovjetunionens sammenbrud,,EVENT
Oklahoma City-Bombningen,,EVENT
coronapandemien,,EVENT
cornonaviruspandemien,,EVENT
Bhopaulykken,,EVENT
Tjernobylulykken,,EVENT
OL i Rio,,EVENT
OL 2016,,EVENT
De olympiske lege i Beijing,,EVENT
VM i Qatar,,EVENT
2000 Sydney OL,,EVENT
Wimbledon 2012,,EVENT
"VM i ishockey, Herning og København",,EVENT
Ryder Cup,,EVENT
Super Bowl XLV,,EVENT
Touren 2022,tour de france,EVENT
Cyklonen Bhola,,EVENT
Tsunamien i Indonesien,,EVENT
Cyklonen Nagir,,EVENT
Orkanen Sandy,,EVENT
Orkanen Igor,,EVENT
Olga,the storm,EVENT
udbytteskandalen,,EVENT
PFA-sagen,,EVENT
Hafnia-sagen,,EVENT
Folketingsvalget 2019,,EVENT
H.K.H. Prins Christians 18-års fødselsdag,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytårsaften,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
nytår,,EVENT
julefrokosten,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
juleaften,,EVENT
Brexit,,EVENT
Aalborg Karneval,,EVENT
Roskilde Festival,,EVENT
Smukfest,,EVENT
Grimfest,,EVENT
EM-slutrunde,,EVENT
VM-slutrunden,,EVENT
Klimatopmødet COP26,,EVENT
klimatopmødet COP24,,EVENT
COP20,,EVENT
X Games,,EVENT
Vildbjerg Cup,,EVENT
Fanø SummerCup,,EVENT
Copenhagen Pride,,EVENT
CPH halvmarathon,,EVENT
Tivolis Juleshow,,EVENT
jul,,EVENT
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Storebæltsbroen,,FACILITY
Lillebæltsbroen,,FACILITY
Studstrupværket,,FACILITY
Lighthouse,,FACILITY
Københavns Rådhus,,FACILITY
Aarhus Domkirke,,FACILITY
Christiansborg,,FACILITY
Nikolaj Kirke,,FACILITY
Helligåndskirken,,FACILITY
Roskilde Domkirke,,FACILITY
Rosenborg Slot,,FACILITY
Magasin du Nord,,FACILITY
Pasteurs Tårn,,FACILITY
Herlev Hospital,,FACILITY
Bohrs Tårn,,FACILITY
Domus Vista,apartment complex,FACILITY
Øresundsbroerne,,FACILITY
Svendborgsundbroen,,FACILITY
Funder Ådalsbroen,,FACILITY
Limfjordsbroen,,FACILITY
Næstved Svingbro,,FACILITY
Den gamle Lillebæltsbro,,FACILITY
Silkeborgtunnellen,,FACILITY
Øresundstunnelen,,FACILITY
E45,highway,FACILITY
E39,highway,FACILITY
Frederikshavnmotorvejen,,FACILITY
Nordjyske Motorvej,,FACILITY
E47,highway,FACILITY
Motorring 4,,FACILITY
Aarhus Lufthavn,,FACILITY
Københavns Lufthavn,,FACILITY
CPH lufthavn,,FACILITY
Aalborg lufthavn,,FACILITY
Billund lufthavn,,FACILITY
BLL,airport,FACILITY
Målev flyveplads,,FACILITY
Almegårds Kaserne,,FACILITY
Garderkasernen,,FACILITY
Nyholm,,FACILITY
Frøslevlejren,,FACILITY
Stevnsfortet,,FACILITY
Viborg Kaserne,,FACILITY
Ribe Domkirke,,FACILITY
Kastellet,,FACILITY
Copenhagen Opera House,,FACILITY
Grundtvigs Kirke,,FACILITY
Aarhus hovedbanegård,,FACILITY
Musikhuset,,FACILITY
Vor Frue Kirke - Københavns Domkirke,,FACILITY
den Sorte Diamant,,FACILITY
Utzon Center,,FACILITY
Operaen,,FACILITY
Bella Sky Hotel,,FACILITY
LEGO House,,FACILITY
Dokk1,,FACILITY
Skovtårnet,,FACILITY
Lærkevej,,FACILITY
Lærkevej 13,,FACILITY
Østergade,,FACILITY
Østergade 76,,FACILITY
Birkevej,,FACILITY
Vibevej,,FACILITY
Vinkelvej,,FACILITY
Industrivej,,FACILITY
Vestergade 23,,FACILITY
Hans Hartvig Seedorffs Stræde,,FACILITY
Georg Walther Andersens Vænge,,FACILITY
Flemming Bamse Jørgensens Plads,,FACILITY
Georg Walther Andersens Vænge,,FACILITY
Morten Olsens Allé,,FACILITY
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
Danmark,,GPE
DK,country,GPE
DK,country,GPE
DK,country,GPE
DK,country,GPE
DK,country,GPE
Denmark,,GPE
Norge,,GPE
Norge,,GPE
Norge,,GPE
Norge,,GPE
Norge,,GPE
Sverige,,GPE
Sverige,,GPE
Sverige,,GPE
Sverige,,GPE
Sverige,,GPE
Finland,,GPE
Finland,,GPE
Finland,,GPE
Finland,,GPE
Finland,,GPE
Nederlandene,,GPE
Nederlandene,,GPE
Nederlandene,,GPE
Holland,,GPE
Holland,,GPE
Holland,,GPE
Frankrig,,GPE
Frankrig,,GPE
Frankrig,,GPE
Irland,,GPE
Spanien,,GPE
Spanien,,GPE
Spanien,,GPE
Portugal,,GPE
Italien,,GPE
Italien,,GPE
Italien,,GPE
Tyskland,,GPE
Tyskland,,GPE
Tyskland,,GPE
Belgien,,GPE
Østrig,,GPE
Slovenien,,GPE
Kroatien,,GPE
Grækenland,,GPE
Rumænien,,GPE
Bulgarien,,GPE
Albanien,,GPE
Malta,,GPE
Estland,,GPE
Letland,,GPE
Lithauen,,GPE
Polen,,GPE
Tjekkiet,,GPE
Schweiz,,GPE
Cypern,,GPE
Island,,GPE
Grønland,,GPE
Færøerne,,GPE
Serbien,,GPE
Luxembourg,,GPE
Liechtenstein,,GPE
Moldova,,GPE
Montenegro,,GPE
Nordmakedonien,,GPE
Tyrkiet,,GPE
Ukraine,,GPE
Ungarn,,GPE
Paris,,GPE
Madrid,,GPE
Lissabon,,GPE
Bern,,GPE
Berlin,,GPE
Wien,,GPE
Prag,,GPE
Amsterdam,,GPE
Dublin,,GPE
Oslo,,GPE
Stockholm,,GPE
Talinn,,GPE
Riga,,GPE
Helsinki,,GPE
Zagreb,,GPE
Bratislava,,GPE
Bruxelles,,GPE
Rom,,GPE
Athen,,GPE
Bukarest,,GPE
Budapest,,GPE
Warszawa,,GPE
Beograd,,GPE
Sofia,,GPE
Reykjavik,,GPE
Nuuk,,GPE
Indien,,GPE
Pakistan,,GPE
Iran,,GPE
Sydafrika,,GPE
USA,,GPE
USA,,GPE
USA,,GPE
Kina,,GPE
Kina,,GPE
Kina,,GPE
Canada,,GPE
Rusland,,GPE
Rusland,,GPE
Rusland,,GPE
Australien,,GPE
Argentina,,GPE
Peru,,GPE
Brasilien,,GPE
Sydafrika,,GPE
Columbia,,GPE
Etiopien,,GPE
Bolivia,,GPE
Egypten,,GPE
Venezula,,GPE
Kenya,,GPE
Vietnam,,GPE
Cuba,,GPE
Jordan,,GPE
Japan,,GPE
Sydkorea,,GPE
San Marino,,GPE
England,,GPE
Storbritannien,,GPE
Fillipinerne,,GPE
Malaysia,,GPE
Irak,,GPE
Usbekistan,,GPE
Ghana,,GPE
Syrien,,GPE
Nepal,,GPE
Bangladesh,,GPE
Tunesien,,GPE
Nicaragua,,GPE
Nordkorea,,GPE
Malawi,,GPE
Aserbajdsjan,,GPE
Afghanistan,,GPE
Hviderusland,,GPE
Uruguay,,GPE
Senegal,,GPE
Haiti,,GPE
Rwanda,,GPE
El Salvador,,GPE
Israel,,GPE
Qatar,,GPE
Singapore,,GPE
Honduras,,GPE
Uganda,,GPE
New Zealand,,GPE
Elfenbenskysten,,GPE
Zimbabwe,,GPE
Turkmenistan,,GPE
Yemen,,GPE
Botswana,,GPE
Somalia,,GPE
Mozambique,,GPE
Libyen,,GPE
Sudan,,GPE
Mexico,,GPE
Saudi-Arabien,,GPE
Bergen,,GPE
München,,GPE
Köln,,GPE
Linköping,,GPE
Thorshavn,,GPE
Tórshavn,,GPE
Hamborg,,GPE
Hamburg,,GPE
Dortmund,,GPE
Malmø,,GPE
Malmö,,GPE
Frankfurt,,GPE
Leeds,,GPE
Glasgow,,GPE
Liverpool,,GPE
London,,GPE
Manchester,,GPE
New York,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
København,,GPE
Copenhagen,,GPE
Copenhagen,,GPE
Copenhagen,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Aarhus,,GPE
Århus,,GPE
Århus,,GPE
Århus,,GPE
Kbh,,GPE
Kbh,,GPE
Kbh,,GPE
Kbh,,GPE
Kbh,,GPE
KBH,,GPE
CPH,,GPE
Cph,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Odense,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Aalborg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Esbjerg,,GPE
Randers,,GPE
Randers,,GPE
Randers,,GPE
Randers,,GPE
Randers,,GPE
Kolding,,GPE
Kolding,,GPE
Kolding,,GPE
Kolding,,GPE
Kolding,,GPE
Horsens,,GPE
Horsens,,GPE
Horsens,,GPE
Horsens,,GPE
Horsens,,GPE
Vejle,,GPE
Vejle,,GPE
Vejle,,GPE
Vejle,,GPE
Vejle,,GPE
Roskilde,,GPE
Roskilde,,GPE
Roskilde,,GPE
Roskilde,,GPE
Roskilde,,GPE
Varde,,GPE
Skjern,,GPE
Aabenraa,,GPE
Albertslund,,GPE
Agerbæk,,GPE
Allerød,,GPE
Auning,,GPE
Aars,,GPE
Bagsværd,,GPE
Ballerup,,GPE
Beder,,GPE
Blåvand,,GPE
Brøndby,,GPE
Brønderslev,,GPE
Charlottenlund,,GPE
Christiansfeld,,GPE
Dragør,,GPE
Dronninglund,,GPE
Ebeltoft,,GPE
Egå,,GPE
Esbjerg,,GPE
Espergærde,,GPE
Faaborg,,GPE
Fanø,,GPE
Farsø,,GPE
Frederiksberg,,GPE
Frederikshavn,,GPE
Galten,,GPE
Gentofte,,GPE
Gilleleje,,GPE
Gråsten,,GPE
Grenaa,,GPE
Greve,,GPE
Haderslev,,GPE
Hadsten,,GPE
Hammel,,GPE
Hasle,,GPE
Hasselager,,GPE
Herning,,GPE
Hirtshals,,GPE
Hillerød,,GPE
Helsingør,,GPE
Helsinge,,GPE
Hjortshøj,,GPE
Hobro,,GPE
Holbæk,,GPE
Horsens,,GPE
Hornslet,,GPE
Hvide Sande,,GPE
Hvidovre,,GPE
Høje Taastrup,,GPE
Hurup Thy,,GPE
Holte,,GPE
Jelling,,GPE
Kalundborg,,GPE
Kastrup,,GPE
Kerteminde,,GPE
Kolding,,GPE
Køge,,GPE
Knebel,,GPE
Klampenborg,,GPE
Kirke Såby,,GPE
Kirke Hyllinge,,GPE
Lemvig,,GPE
Lille Skensved,,GPE
Lundby,,GPE
Malling,,GPE
Middelfart,,GPE
Maribo,,GPE
Munkebo,,GPE
Nakskov,,GPE
Nexø,,GPE
Nordhavn,,GPE
Næstved,,GPE
Nibe,,GPE
Odder,,GPE
Oksbøl,,GPE
Otterup,,GPE
Padborg,,GPE
Præstø,,GPE
Ribe,,GPE
Risskov,,GPE
Roskilde,,GPE
Rudkøbing,,GPE
Rønde,,GPE
Rødovre,,GPE
Rødekro,,GPE
Ry,,GPE
Ringe,,GPE
Ringkøbing,,GPE
Sabro,,GPE
Sakskøbing,,GPE
Silkeborg,,GPE
Samsø,,GPE
Sindal,,GPE
Skagen,,GPE
Skals,,GPE
Skanderborg,,GPE
Skive,,GPE
Skovlunde,,GPE
Slagelse,,GPE
Solbjerg,,GPE
Sorø,,GPE
Sunds,,GPE
Sønderborg,,GPE
Struer,,GPE
Store Heddinge,,GPE
Solrød,,GPE
Sorø,,GPE
Suldrup,,GPE
Sydals,,GPE
Taastrup,,GPE
Tarm,,GPE
Tilst,,GPE
Thyborøn,,GPE
Tønder,,GPE
Tørring,,GPE
Toftlund,,GPE
Thisted,,GPE
Tappernøje,,GPE
Ulfborg,,GPE
Valby,,GPE
Vallensbæk,,GPE
Vanløse,,GPE
Virum,,GPE
Viby,,GPE
Ølstykke,,GPE
Ørsted ,,GPE
kinesisk,,LANGUAGE
kinesisk,,LANGUAGE
kinesisk,,LANGUAGE
mandarin,,LANGUAGE
mandarin,,LANGUAGE
mandarin,,LANGUAGE
spansk,,LANGUAGE
spansk,,LANGUAGE
spansk,,LANGUAGE
spansk,,LANGUAGE
spansk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
engelsk,,LANGUAGE
arabisk,,LANGUAGE
arabisk,,LANGUAGE
arabisk,,LANGUAGE
arabisk,,LANGUAGE
arabisk,,LANGUAGE
bengali,,LANGUAGE
hindi,,LANGUAGE
hindi,,LANGUAGE
hindi,,LANGUAGE
hindi,,LANGUAGE
hindi,,LANGUAGE
russisk,,LANGUAGE
russisk,,LANGUAGE
russisk,,LANGUAGE
portugisisk,,LANGUAGE
japansk,,LANGUAGE
fransk,,LANGUAGE
fransk,,LANGUAGE
fransk,,LANGUAGE
fransk,,LANGUAGE
fransk,,LANGUAGE
tysk,,LANGUAGE
tysk,,LANGUAGE
tysk,,LANGUAGE
tysk,,LANGUAGE
tysk,,LANGUAGE
javanesisk,,LANGUAGE
koreansk,,LANGUAGE
italiensk,,LANGUAGE
italiensk,,LANGUAGE
italiensk,,LANGUAGE
italiensk,,LANGUAGE
italiensk,,LANGUAGE
tyrkisk,,LANGUAGE
vietnamesisk,,LANGUAGE
indisk,,LANGUAGE
indisk,,LANGUAGE
indisk,,LANGUAGE
cantonesisk,,LANGUAGE
marathi,,LANGUAGE
tamil,,LANGUAGE
urdu,,LANGUAGE
polsk,,LANGUAGE
ukrainsk,,LANGUAGE
farsi,,LANGUAGE
persisk,,LANGUAGE
panjabi,,LANGUAGE
rumænsk,,LANGUAGE
bhojpuri,,LANGUAGE
azerbaijani,,LANGUAGE
maithili,,LANGUAGE
hausa,,LANGUAGE
burmesisk,,LANGUAGE
thai,,LANGUAGE
hollandsk,,LANGUAGE
yoruba,,LANGUAGE
bulgarsk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
dansk,,LANGUAGE
estisk,,LANGUAGE
finsk,,LANGUAGE
græsk,,LANGUAGE
irsk,,LANGUAGE
kroatisk,,LANGUAGE
lettisk,,LANGUAGE
litauisk,,LANGUAGE
maltesisk,,LANGUAGE
nederlandsk,,LANGUAGE
slovakisk,,LANGUAGE
slovensk,,LANGUAGE
svensk,,LANGUAGE
svensk,,LANGUAGE
svensk,,LANGUAGE
svensk,,LANGUAGE
svensk,,LANGUAGE
tjekkisk,,LANGUAGE
ungarnsk,,LANGUAGE
catalansk,,LANGUAGE
norsk,,LANGUAGE
færøsk,,LANGUAGE
islandsk,,LANGUAGE
swahili,,LANGUAGE
afrikaans,,LANGUAGE
oromo,,LANGUAGE
somali,,LANGUAGE
hebraisk,,LANGUAGE
english,,LANGUAGE
deutsch,,LANGUAGE
danish,,LANGUAGE
german,,LANGUAGE
suomi,,LANGUAGE
español,,LANGUAGE
svenska,,LANGUAGE
nynorsk,,LANGUAGE
bokmål,,LANGUAGE
français,,LANGUAGE
"A-skattelåneloven § 2§ 1, 1. pkt.",,LAW
opkrævningslovens § 11,,LAW
straffelovens § 289,,LAW
Arveloven,,LAW
"§ 1, stk. 2",,LAW
"værgemålslovens § 1, stk. 1",,LAW
værgemålslovens § 5,,LAW
"§ 92, stk. 1, i lov om skifte af dødsboer",,LAW
lov om skifte af dødsboer,,LAW
Innovationsloven,,LAW
§§ 6-9,,LAW
§ 5 i økologiloven,,LAW
"retsplejelovens § 834, stk. 1, nr. 2 ",,LAW
§ 9 i lov nr. 395 ,,LAW
BEK nr 1332,,LAW
"Lov om ændring af lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v.",,LAW
kildeskatteloven,,LAW
ejendomsvurderingsloven,,LAW
LOV nr 1430,,LAW
Årsregnskabsloven,,LAW
§ 143 i selskabsloven,,LAW
Havneloven,,LAW
straffelovens §§ 152 - 152 e,,LAW
Hesteloven,,LAW
Høstpantebrevsloven,,LAW
Barselsloven,,LAW
Forordning om stavnsbånd,,LAW
Lov om Værnepligt af 1912,,LAW
"Danske lov af 1683, Bog 1",,LAW
Norske Lov,,LAW
Grundloven,,LAW
Novemberforfatningen,,LAW
Kongeloven,,LAW
Tvindloven,,LAW
retsplejelovens § 56 stk,,LAW
§ 77,,LAW
grundlovens paragraffer om menneskerettigheder (§§ 71-80),,LAW
Natur- og Miljøklagenævnsloven,,LAW
"§ 5, stk. 1, nr. 2",,LAW
naturbeskyttelseslovens § 60 a,,LAW
naturbeskyttelseslovens §§ 19 d-19 f.,,LAW
NIS-loven,,LAW
§ 1 i lov nr. 667,,LAW
Navneloven,,LAW
"§ 11, stk. 1, nr. 4.",,LAW
Lov om ophørsstøtte til jordbrugere,,LAW
§§ 4-7,,LAW
Lov om visse landdistriktsrelaterede tilskudsordninger m.v.,,LAW
Lukkeloven,,LAW
Ligningsloven,,LAW
"ligningslovens § 16 H, stk. 6",,LAW
kildeskattelovens §§ 1,,LAW
Kvælstofoxiderafgiftsloven,,LAW
Komitéloven,,LAW
Jagt og vildtforvaltningsloven,,LAW
Inspire-loven,,LAW
Bill of Rights,,LAW
Artikel fire i USA's forfatning,,LAW
Corwintilføjelsen,,LAW
Ligeretstilføjelsen,,LAW
Jim Crow-lovene,,LAW
2019/944/EU,,LAW
Direktiv om fælles regler for det indre marked for elektricitet,,LAW
2015/121/EU,,LAW
CO2-kvoteloven,,LAW
lovbekendtgørelse nr. 1222,,LAW
Stillehavet,,LOCATION
det Indiske Ocean,,LOCATION
Atlanterhavet,,LOCATION
det Arktiske Ocean,,LOCATION
Ishavet,,LOCATION
det Sydlige Ishav,,LOCATION
det Kaspiske Hav,,LOCATION
Victoria Søen,,LOCATION
Arresø,,LOCATION
Esrum Sø,,LOCATION
Stadil Fjord,,LOCATION
Vejle Fjord,,LOCATION
Klosterheden,,LOCATION
Rold Skov,,LOCATION
Gribskov,,LOCATION
Ejer Bavnehøj,,LOCATION
Himmelbjerget,,LOCATION
Gudenåen,,LOCATION
Varde Å,,LOCATION
Skjern Å,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Jylland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Sjælland,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Fyn,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Lolland,,LOCATION
Bornholm,,LOCATION
Bornholm,,LOCATION
Bornholm,,LOCATION
Bornholm,,LOCATION
Bornholm,,LOCATION
Falster,,LOCATION
Falster,,LOCATION
Falster,,LOCATION
Falster,,LOCATION
Falster,,LOCATION
Mors,,LOCATION
Mors,,LOCATION
Als,,LOCATION
Als,,LOCATION
Langeland,,LOCATION
Langeland,,LOCATION
Møn,,LOCATION
Møn,,LOCATION
Andesbjergene,,LOCATION
Uralbjergene,,LOCATION
Pyrenæerne,,LOCATION
Alperne,,LOCATION
Rocky Mountains,,LOCATION
Naturpark Åmosen,,LOCATION
Dyrehaven,,LOCATION
Møns Klint,,LOCATION
Råbjerg Mile,,LOCATION
Jammerbugten,,LOCATION
Rubjerg Knude,,LOCATION
Knudeklint,,LOCATION
Vadehavet,,LOCATION
Anholt,,LOCATION
Assistens Kirkegården,,LOCATION
Ejby Ådal,,LOCATION
Fladstensdalen,,LOCATION
Madsebakke,,LOCATION
Skagen Gren,,LOCATION
Grenen,sandbar spit,LOCATION
Rebild Bakker,,LOCATION
Nilen,,LOCATION
Amazonas,,LOCATION
Congo-Chambeshi,,LOCATION
Yangtze,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Sønderjylland,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Syddanmark,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Midtjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Vestjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Nordjylland,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Midtfyn,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Lolland-Falster,,LOCATION
Syd- og Sønderjylland,,LOCATION
Syd- og Sønderjylland,,LOCATION
Syd- og Sønderjylland,,LOCATION
Syd- og Sønderjylland,,LOCATION
Syd- og Sønderjylland,,LOCATION
Midt- og Vestjylland,,LOCATION
Midt- og Vestjylland,,LOCATION
Midt- og Vestjylland,,LOCATION
Midt- og Vestjylland,,LOCATION
Midt- og Vestjylland,,LOCATION
Nordsjælland,,LOCATION
Nordsjælland,,LOCATION
Nordsjælland,,LOCATION
Nordsjælland,,LOCATION
